GENE	SLMC2	CGH1	CGH2	UST4	UST1	SLMC5	SLMC6	CGH6	CGH5	UST5	UST2	SLMC4	UST3	CGH3	UST6	SLMC1	SLMC3	CGH4
aac(6')-Ib_2_M23634	6	77	133	6	2	26	2	48	78	8	10	9	4	65	6	3	12	81
aac(6')-Ib11_1_AY136758	4	59	99	4	2	16	2	35	62	2	11	9	2	34	1	2	12	83
aac(6')-30-aac(6')-Ib'_1_AJ584652	7	218	256	6	5	40	3	94	178	4	11	22	11	132	12	9	34	165
aac(6')-Iaj_1_AB709942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-Ian_1_AP014611	0	3	16	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2
aac(6')-Iak_1_AB894482	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-Ib-Hangzhou_1_FJ503047	12	154	207	10	4	27	5	72	123	6	7	11	6	103	11	9	17	128
aac(6')-Iid_1_AJ584700	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
aac(6')-Iih_1_AJ584701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-Iz_2_AB971834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-29b_1_AF263519	0	2	5	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
aac(6')-29a_1_AF263519	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-Iaa_1_NC_003197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-Ih_2_KT778788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-Ix_1_AF031332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-Il_1_U13880	0	217	276	1	0	1	9	85	275	3	0	1	0	71	36	11	31	172
aac(6')-Ia_2_M86913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-Iag_1_AB472901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(2')-IIa_1_AB669090	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kamB_1_AJ629123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
grmO_1_AY524043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fmrO_1_Q08325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
grmB_1_M55521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
grmA_1_M55520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kgmB_1_S60108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sgm_1_M87057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(3')-VI_2_APPJ01000012	0	4	41	0	0	0	0	1	3	0	0	0	0	1	0	0	1	6
aph(3')-IX_1_APPN01000061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ant(6)-Ia_5_AB247327	0	0	2	1	2	0	0	0	0	0	0	2	0	0	2	0	0	9
aadA13_2_NC010643	0	2	5	0	0	4	0	0	1	0	0	18	4	6	3	1	2	2
aadA11_2_AJ567827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aadA10_2_AM087405	5	104	125	68	53	56	25	38	104	27	52	73	26	101	54	16	660	80
aadA7_2_AB114632	0	27	2	0	0	20	3	57	8	0	0	8	2	101	1	1	7	8
aadA2_1_NC_010870	30	136	217	9	12	34	4	76	147	8	8	26	9	33	33	7	48	82
aadD_2_M19465	0	2	1	0	0	0	0	1	1	0	0	0	1	2	1	0	0	4
aph(2'')-Ib_2_AF207840	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(7'')-Ia_1_X03615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(9)-Ia_2_CR628337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(6)-Ia_2_Y00459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(6)-Id_1_M28829	29	180	447	70	14	102	19	163	149	15	16	41	62	136	50	14	47	202
aph(6)-Id_3_AB109805	24	182	382	38	9	98	13	115	110	18	16	55	49	126	43	24	32	139
aph(6)-Id_4_CP000971	21	114	299	54	20	59	17	115	103	19	15	42	45	116	38	12	46	165
aph(6)-Id_5_18676889	26	129	348	54	7	69	13	106	129	12	16	42	49	113	48	16	42	156
aph(3'')-Ia_2_AP009493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(3'')-Ia_3_M37378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(3'')-Ib_1_M28829	17	141	300	29	11	56	7	123	101	9	9	29	33	86	26	16	34	120
aph(3'')-Ib_3_AF321550	24	186	402	49	21	72	13	93	117	18	15	44	60	108	59	14	45	173
