GENE	SLMC2	CGH1	CGH2	UST4	UST1	SLMC5	SLMC6	CGH6	CGH5	UST5	UST2	SLMC4	UST3	CGH3	UST6	SLMC1	SLMC3	CGH4
414_tnpA_AL513383.1	103	340	549	41	19	179	27	129	444	21	61	164	69	314	76	45	120	314
2570_tnpA_CCSD01000073.1	3	0	0	10	78	18	10	88	14	11	4	6	15	0	19	0	1	5
2004_tnpA_HF677572.1	0	8	22	0	7	0	0	5	164	4	0	0	0	5	9	1	0	1011
733_tnpA1_CBTR010000003.1	0	26	12	0	0	1	2	14	21	0	1	7	0	34	0	4	4	31
1017_tnpA_FKLR01000027.1	8	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	2
2268_tnpA_AYLO01000021.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1044_tnpA_AB723628.1	0	4	1	2	0	3	0	0	1	0	2	0	3	0	1	0	0	4
713_tnpA_JN887338.1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
1787_tnpA_AP008932.1	148	178	217	30	68	510	301	498	148	39	50	2046	54	168	100	974	2922	30
2501_tnpA_CP017672.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1995_tnpA_CP009111.1	0	0	0	0	12	0	0	0	0	0	0	0	1	0	2	0	0	0
2490_tnpA_FO681494.1	0	0	0	1	0	1	0	2	1	0	5	0	0	2	1	0	0	0
331_tnpA_AY208917.2	4	42	41	130	27	17	6	37	103	21	110	15	121	226	227	3	47	62
458_tnpA_KC609323.1	0	42	37	6	2	0	1	21	27	6	2	0	5	33	0	0	0	61
746_tnpA_AJ863570.1	737	481	779	310	138	951	170	1066	576	350	303	504	537	960	389	161	600	947
758_tnpA3_FR875157.1	0	1	2	2	1	2	3	4	0	0	0	0	3	4	0	0	1	2
1143_tnpA_FR820585.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1490_tnpA_AJ515144.2	0	3	13	5	0	3	0	13	1	7	2	2	3	0	166	0	2	56
