clade_name	CGH1	CGH2	CGH3	CGH4	CGH5	CGH6	SLMC1	SLMC2	SLMC3	SLMC4	SLMC5	SLMC6	UST1	UST2	UST3	UST4	UST5	UST6
k__Bacteria	28715318.0	25737326.0	24451921.0	34738961.0	22648465.0	31647416.0	14415358.0	57402309.0	47840987.0	26788128.0	24754881.0	27576164.0	10501889.0	10557953.0	21722489.0	27785600.0	27921464.0	27521898.0
k__Archaea	65663.0	78423.0	45253.0	367036.0	84819.0	25145.0	12164.0	15280.0	12137.0	99360.0	96627.0	12226.0	0.0	638.0	9873.0	0.0	6084.0	15724.0
k__Bacteria|p__Proteobacteria	12237765.0	20596301.0	14880164.0	18416970.0	12300327.0	10563031.0	1592090.0	22602023.0	32804080.0	15369252.0	15945936.0	13946658.0	2815411.0	3626718.0	9451109.0	6119117.0	18624178.0	20497648.0
k__Bacteria|p__Actinobacteria	13999856.0	2396861.0	5177003.0	10499936.0	8143849.0	20060392.0	12425198.0	30035535.0	10613081.0	8692786.0	5436436.0	13296613.0	6973767.0	5982840.0	10423667.0	19529263.0	7830112.0	5481724.0
k__Bacteria|p__Bacteroidota	2222148.0	2500643.0	2625258.0	4680828.0	1922369.0	656957.0	164140.0	4324053.0	4261535.0	2511717.0	2312776.0	194292.0	550019.0	676690.0	1534806.0	1120862.0	1186218.0	1151992.0
k__Bacteria|p__Firmicutes	230376.0	189529.0	213379.0	1013332.0	251145.0	358515.0	230088.0	427392.0	96442.0	89711.0	357502.0	123851.0	137195.0	209150.0	213488.0	855649.0	79440.0	295306.0
k__Archaea|p__Euryarchaeota	65663.0	78423.0	45253.0	366903.0	84819.0	25145.0	12164.0	15280.0	12137.0	99360.0	96593.0	12226.0	0.0	638.0	9873.0	0.0	6084.0	15724.0
k__Bacteria|p__Verrucomicrobia	8862.0	1483.0	1424052.0	13989.0	5263.0	1944.0	0.0	8490.0	36663.0	4439.0	17861.0	0.0	0.0	2177.0	12707.0	5685.0	31845.0	10546.0
k__Bacteria|p__Chloroflexi	10705.0	17254.0	13461.0	20852.0	7485.0	2818.0	85.0	0.0	0.0	9244.0	1706.0	0.0	0.0	3479.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Synergistetes	4239.0	18221.0	7132.0	40701.0	12208.0	2561.0	0.0	1661.0	1043.0	82148.0	169092.0	6289.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Melainabacteria	792.0	0.0	305.0	0.0	71.0	0.0	0.0	0.0	0.0	0.0	1645.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Omnitrophica	512.0	0.0	965.0	99.0	0.0	644.0	139.0	0.0	5866.0	6271.0	2115.0	1310.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Planctomycetota	63.0	17034.0	104812.0	0.0	429.0	554.0	0.0	0.0	542.0	6174.0	421997.0	0.0	0.0	5342.0	4132.0	0.0	2120.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia	13979088.0	2392703.0	5176514.0	10367896.0	8130533.0	20055953.0	12425198.0	30012062.0	10578593.0	8662589.0	5388502.0	13296613.0	6971589.0	5974379.0	10411129.0	19477732.0	7827654.0	5434234.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	7571418.0	5991637.0	4159245.0	7674358.0	4785248.0	8312988.0	1179834.0	9622640.0	24954944.0	10191623.0	9907727.0	12667608.0	1564130.0	953227.0	1121154.0	2228838.0	12334237.0	13611809.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2983759.0	9537743.0	6953937.0	6093935.0	2461894.0	1217819.0	214846.0	9237759.0	1169588.0	1568457.0	1753993.0	779519.0	585318.0	1329711.0	2096533.0	1273004.0	2984617.0	3598301.0
k__Bacteria|p__Bacteroidota|c__Flavobacteriia	1610821.0	793126.0	1954039.0	1959021.0	797736.0	404743.0	23573.0	4084968.0	2982912.0	782625.0	955494.0	127589.0	453397.0	105877.0	532960.0	415263.0	531002.0	326036.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	1614752.0	4973846.0	3059464.0	3948243.0	3631424.0	858533.0	130530.0	3721179.0	6089196.0	3194839.0	3037473.0	373960.0	469949.0	1300522.0	6205935.0	2239033.0	2998663.0	3113763.0
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia	476162.0	927862.0	160950.0	687433.0	213219.0	44266.0	92.0	4791.0	78990.0	409231.0	192295.0	1075.0	11352.0	0.0	15345.0	14380.0	75125.0	34872.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia	104295.0	776559.0	488378.0	1938236.0	863873.0	187202.0	8153.0	219711.0	854300.0	1243572.0	1119086.0	22959.0	2138.0	42213.0	321581.0	277593.0	93519.0	50128.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	38666.0	12509.0	9434.0	55752.0	32797.0	17952.0	11935.0	15280.0	8849.0	30001.0	64767.0	11918.0	0.0	638.0	9873.0	0.0	5921.0	7053.0
k__Bacteria|p__Firmicutes|c__Bacilli	39622.0	7433.0	596.0	290335.0	59478.0	36852.0	0.0	268625.0	25266.0	6905.0	152039.0	1407.0	59213.0	36067.0	21758.0	332728.0	54573.0	206948.0
k__Bacteria|p__Proteobacteria|c__Oligoflexia	60781.0	82067.0	0.0	480563.0	1219555.0	139761.0	62473.0	0.0	3847.0	357238.0	470629.0	115950.0	186332.0	27111.0	470.0	0.0	255299.0	170094.0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	26997.0	65914.0	35819.0	310504.0	51853.0	7193.0	229.0	0.0	3261.0	69359.0	31826.0	308.0	0.0	0.0	0.0	0.0	163.0	1475.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	20768.0	4158.0	489.0	131914.0	13316.0	4439.0	0.0	23473.0	34488.0	30197.0	47934.0	0.0	2178.0	8246.0	12267.0	51531.0	589.0	43936.0
k__Bacteria|p__Firmicutes|c__Negativicutes	10074.0	2730.0	3422.0	32199.0	13669.0	6813.0	0.0	11587.0	10711.0	18107.0	48003.0	1105.0	0.0	903.0	5495.0	3407.0	0.0	2399.0
k__Bacteria|p__Bacteroidota|c__Chitinophagia	21536.0	0.0	549.0	0.0	289.0	11112.0	126564.0	0.0	203965.0	44283.0	3690.0	41963.0	81328.0	506719.0	622124.0	274521.0	457499.0	717180.0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	5747.0	3109.0	134114.0	32973.0	24362.0	30733.0	4407.0	1099.0	583868.0	21123.0	35271.0	9621.0	9682.0	6219.0	20145.0	378242.0	47086.0	0.0
k__Bacteria|p__Chloroflexi|c__CFGB10797	10547.0	16671.0	12051.0	13399.0	7344.0	2818.0	85.0	0.0	0.0	2926.0	130.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__CFGB343	3591.0	0.0	16334.0	11755.0	6963.0	3848.0	969.0	9908.0	5504.0	4604.0	20702.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	5796.0	865.0	1422132.0	12420.0	4513.0	1944.0	0.0	8490.0	10771.0	2892.0	9382.0	0.0	0.0	936.0	12665.0	5685.0	31845.0	10546.0
k__Bacteria|p__Synergistetes|c__CFGB7945	4239.0	17398.0	6943.0	36243.0	12208.0	2561.0	0.0	1661.0	1043.0	82148.0	160879.0	6289.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__CFGB658	3949.0	830.0	1389.0	40641.0	23640.0	5673.0	0.0	4149.0	5938.0	14834.0	4003.0	0.0	0.0	0.0	0.0	0.0	6524.0	0.0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	1325.0	0.0	0.0	13412.0	2121.0	24.0	0.0	0.0	0.0	259.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	1905.0
k__Bacteria|p__Bacteroidota|c__CFGB1670	1670.0	2230.0	3259.0	13330.0	6316.0	0.0	0.0	526.0	11755.0	6782.0	14586.0	0.0	0.0	0.0	0.0	7120.0	0.0	262.0
