clade_name	SLMC2	CGH1	CGH2	UST4	UST1	SLMC5	SLMC6	CGH6	CGH5	UST5	UST2	SLMC4	UST3	CGH3	UST6	SLMC1	SLMC3	CGH4
k__Bacteria	99.95026	99.53811	99.50277	100.0	100.0	99.25752	99.91126	99.79205	99.31418	99.93641	99.98249	99.31575	99.88001	99.45617	99.89235	99.81149	99.95432	98.3149
k__Archaea	0.04974	0.46189	0.49723	0.0	0.0	0.74248	0.08833	0.18015	0.68582	0.06359	0.01751	0.68425	0.11999	0.36254	0.10765	0.18851	0.04568	1.6851
k__Bacteria|p__Actinobacteria	53.18622	42.84033	7.11586	56.24267	57.22229	17.98651	39.12503	59.06622	28.90926	22.7745	44.66136	25.72346	37.07657	18.15623	17.50598	83.78902	13.6471	25.0798
k__Bacteria|p__Proteobacteria	37.31454	45.30621	80.48121	29.85022	31.62289	65.10762	58.94899	35.95037	58.1384	70.19055	41.79001	61.29402	51.43445	60.93252	76.10661	12.35932	75.35104	53.0248
k__Bacteria|p__Bacteroidota	8.56376	10.05752	10.64361	6.15258	7.97381	11.21135	1.05058	2.91631	10.29673	5.72307	8.49648	10.84894	8.4706	15.20772	4.08431	1.3512	10.43753	15.25147
k__Bacteria|p__Firmicutes	0.84774	1.21531	1.01565	5.8911	2.2724	2.13897	0.6983	1.81532	1.74046	0.53511	3.47997	0.53946	1.69959	1.32197	1.54459	2.21597	0.29631	4.37723
k__Archaea|p__Euryarchaeota	0.04974	0.46189	0.49723	0.0	0.0	0.74208	0.08833	0.18015	0.68582	0.06359	0.01751	0.68425	0.11999	0.36254	0.10765	0.18851	0.04568	1.684
k__Bacteria|p__Verrucomicrobia	0.02301	0.04102	0.00736	0.01781	0.0	0.09003	0.0	0.00986	0.03316	0.09482	0.02067	0.02248	0.04328	3.413	0.04418	0.0	0.07867	0.05413
k__Bacteria|p__Elusimicrobia	0.00671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01877	0.0	0.0	0.0	0.0
k__Bacteria|p__Synergistetes	0.00608	0.02896	0.13401	0.0	0.0	1.27493	0.0508	0.01754	0.113	0.0	0.0	0.60688	0.0	0.06225	0.0	0.0	0.00377	0.21645
k__Bacteria|p__Acidobacteria	0.00221	0.0	0.0	0.02243	0.00404	0.0002	0.02501	0.0	0.0	0.0	0.00248	0.0	0.01065	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia	53.12744	42.73155	7.09542	55.81857	57.18327	17.68191	39.12503	59.04161	28.79798	22.75983	44.49341	25.54728	36.95955	18.15262	17.22964	83.78902	13.54035	24.45625
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	16.477	10.10917	36.76006	5.98271	6.15475	6.8125	3.03687	4.15474	10.44173	12.3127	13.25916	5.62064	9.712	26.54326	11.38617	1.64051	1.96497	17.09548
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	15.77499	29.1828	25.13011	11.11561	18.92399	42.72262	53.66175	28.10598	23.81554	41.28475	13.07752	40.45097	6.81241	19.4724	54.20542	8.99074	59.86741	22.90739
k__Bacteria|p__Bacteroidota|c__Flavobacteriia	8.1371	8.02669	4.25933	2.59839	7.02016	5.37711	0.75412	2.0282	4.73357	2.8352	1.76122	4.18952	3.2272	11.78989	1.22932	0.25481	8.01162	7.65632
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	4.99896	5.75641	18.22196	9.49522	4.22403	11.22007	1.68415	2.85604	14.45575	14.36375	14.85499	12.7883	34.62834	12.65249	9.78204	1.0033	11.38148	10.51787
k__Bacteria|p__Firmicutes|c__Bacilli	0.43802	0.30354	0.06095	2.49689	1.12317	0.96608	0.00984	0.28085	0.47008	0.35445	0.56765	0.05651	0.19738	0.00132	1.10477	0.0	0.10005	1.46027
k__Bacteria|p__Bacteroidota|c__Bacteroidia	0.3656	0.42109	3.19824	1.52449	0.0219	4.81957	0.10802	0.66252	4.33428	0.51095	0.53803	4.89054	1.60363	2.54789	0.15194	0.07636	1.55611	5.59727
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.05878	0.10878	0.02044	0.4241	0.03902	0.30459	0.0	0.02461	0.11128	0.00538	0.1633	0.17618	0.11507	0.00361	0.26248	0.0	0.10674	0.62289
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0.04974	0.3074	0.09887	0.0	0.0	0.56156	0.08658	0.13882	0.31475	0.06247	0.01751	0.26255	0.11999	0.09909	0.04708	0.18568	0.03651	0.32045
k__Bacteria|p__Bacteroidota|c__CFGB343	0.04415	0.02987	0.0	0.0	0.0	0.19287	0.0	0.03208	0.07846	0.0	0.0	0.04141	0.0	0.17451	0.0	0.01727	0.02422	0.07776
k__Bacteria|p__Firmicutes|c__Negativicutes	0.03691	0.06275	0.01817	0.02679	0.0	0.28267	0.00553	0.0377	0.11453	0.0	0.01821	0.11675	0.05232	0.02672	0.01479	0.0	0.03478	0.15827
k__Bacteria|p__Proteobacteria|c__CFGB2404	0.02635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10499	0.04262	0.06128	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	0.02301	0.02931	0.00476	0.01781	0.0	0.0522	0.0	0.00986	0.02912	0.09482	0.00818	0.01582	0.04305	3.40319	0.04418	0.0	0.02811	0.04916
k__Bacteria|p__Proteobacteria|c__CFGB2403	0.01266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01288	0.0	0.0	0.0	0.0	0.00685	0.0
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	0.01056	0.0	0.00202	0.0	0.0	0.0	0.0	0.0	0.00666	0.0	0.0	0.00397	0.0	0.0	0.0	0.0	0.0	0.00209
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	0.01012	0.00068	0.03437	0.0	0.0	1.39864	0.0	0.00426	0.32147	0.0	0.01254	0.01661	0.0	1.09316	0.0	0.0	0.0	0.25973
k__Bacteria|p__Bacteroidota|c__CFGB658	0.00847	0.01504	0.00344	0.0	0.0	0.01762	0.0	0.02166	0.12199	0.03236	0.0	0.0611	0.0	0.0068	0.0	0.0	0.01197	0.12773
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia	0.0068	1.49765	3.16829	0.047	0.11875	0.67531	0.0039	0.13909	0.89953	0.29206	0.0	1.4027	0.0709	0.6593	0.10172	0.00059	0.12875	1.5981
k__Bacteria|p__Elusimicrobia|c__Elusimicrobia	0.00671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01877	0.0	0.0	0.0	0.0
k__Bacteria|p__Synergistetes|c__CFGB7945	0.00608	0.02896	0.12936	0.0	0.0	1.23117	0.0508	0.01754	0.113	0.0	0.0	0.60688	0.0	0.06093	0.0	0.0	0.00377	0.19694
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	0.00341	0.03975	0.02222	3.25669	0.2165	0.26495	0.07845	0.21311	0.22774	0.42405	0.14276	0.15563	0.21178	1.12244	0.0	0.06531	2.12095	0.18042
k__Bacteria|p__Acidobacteria|c__CFGB42124	0.00221	0.0	0.0	0.0	0.0	0.0002	0.0	0.0	0.0	0.0	0.00195	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__CFGB1670	0.00164	0.00973	0.01413	0.05172	0.0	0.09512	0.0	0.0	0.04982	0.0	0.0	0.0427	0.0	0.02438	0.00155	0.0	0.03621	0.06172
k__Bacteria|p__Proteobacteria|c__CFGB8587	0.00048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	40.09523	0.50578	0.57298	1.87205	0.3788	1.17377	1.19431	1.27108	3.48327	0.26456	0.22892	2.83904	1.10721	0.52383	1.50452	10.2016	1.38765	1.9039
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	15.69105	23.12404	19.71278	7.68112	13.37153	41.27506	48.67829	27.1506	20.51298	16.78885	3.8123	39.47812	1.69898	17.90665	39.53765	7.64063	57.23625	17.45215
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomicrobiales	15.45416	2.66514	9.47151	4.37294	3.3119	3.121	1.97219	2.18456	6.55626	9.92107	8.72239	2.3943	7.91815	22.53074	6.08442	0.7216	1.29136	4.51985
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	12.80331	33.31199	3.57979	50.76791	47.27501	15.82949	37.77738	57.37708	22.45576	20.85966	40.2093	21.73374	30.98002	17.36106	9.24958	73.34028	11.76393	18.32549
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales	8.1371	8.02669	4.25933	2.59839	7.02016	5.37711	0.75412	2.0282	4.73357	2.8352	1.76122	4.18952	3.2272	11.78989	1.22932	0.25481	8.01162	7.65632
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	4.99896	4.83713	17.56599	9.18765	4.19946	10.14284	1.48274	2.6663	13.09488	14.15278	9.42399	9.83783	30.79619	11.50099	9.611	0.72719	9.78804	9.25865
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	0.89424	1.52729	5.25538	0.0	0.2591	0.95956	0.19983	0.30946	1.55649	0.33869	0.0049	0.59334	0.10026	0.68655	0.4112	0.0828	0.11396	11.04514
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	0.3656	0.42109	3.19824	1.52449	0.0219	4.81957	0.10802	0.66252	4.33428	0.51095	0.53803	4.89054	1.60363	2.54789	0.15194	0.07636	1.55611	5.59727
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	0.32352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30568	0.01935	0.0	0.0	0.00132	0.02213	0.0	0.0	0.00185
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	0.15499	0.30351	0.06067	2.83584	1.79365	0.41586	0.0	0.15442	0.50587	0.01919	1.2814	0.68564	1.28378	0.022	4.62604	0.0	0.18571	2.77324
