GENE	SLMC2	CGH1	CGH2	UST4	UST1	SLMC5	SLMC6	CGH6	CGH5	UST5	UST2	SLMC4	UST3	CGH3	UST6	SLMC1	SLMC3	CGH4
gb|AP006618.1|+|4835199-4838688|ARO:3000501|rpoB2	1453	1538	304	1174	1507	560	816	2047	679	1072	1029	570	1068	471	629	1507	507	1020
gb|AB211124.1|+|0-525|ARO:3002895|SAT-2	1	3	0	1	0	7	215	0	0	0	0	171	0	0	0	836	2	0
gb|NC_008618.1|-|1667063-1670624|ARO:3004480|Bado_rpoB_RIF	597	519	316	575	323	495	633	930	364	275	358	509	457	326	841	604	480	733
gb|AY055428.1|-|20268-21084|ARO:3000412|sul2	59	1455	2322	355	177	1070	698	770	1457	128	223	1520	335	772	692	559	984	1255
gb|AE004091.2|+|2810008-2813197|ARO:3000804|MexF	3	234	59	283	188	329	1701	1698	128	771	117	449	134	121	451	533	149	61
gb|EU294228.1|+|21241-22717|ARO:3003109|msrE	599	2952	3618	453	344	1299	247	1122	2228	163	538	1115	540	1484	742	390	1331	1973
gb|JF969163.1|+|1053-1893|ARO:3000410|sul1	263	1370	1877	290	195	1013	1181	1768	1327	153	297	739	302	842	461	387	1840	1014
gb|DQ149925.1|+|188-521|ARO:3005098|qacL	60	151	263	102	63	414	88	39	316	11	23	394	56	30	184	232	852	132
gb|DQ839391.1|-|12872-13757|ARO:3003741|mphE	277	1239	1600	204	177	550	109	425	914	85	235	552	225	582	332	204	553	824
gb|M72415.1|+|1120-1984|ARO:3004683|aadS	21	1233	1777	63	75	1377	97	504	1273	67	19	1551	100	1938	161	180	2314	1311
gb|AY043299.1|-|3984-5175|ARO:3000167|tet(C)	322	289	414	91	128	345	116	218	836	59	100	254	71	281	102	130	263	455
gb|M17124.1|+|1181-1982|ARO:3000498|ErmF	28	548	1303	43	28	638	40	241	1092	114	29	1109	73	1595	76	114	1277	714
gb|HQ203032.1|+|0-345|ARO:3000245|RbpA	30	103	5	23	83	42	62	163	27	25	79	35	111	25	37	111	25	15
gb|AF133139.1|+|0-1176|ARO:3000174|tet(G)	53	649	2820	210	52	676	72	217	404	119	157	219	198	635	185	92	146	493
gb|U49101.1|+|1490-1838|ARO:3005010|qacEdelta1	89	368	576	116	56	173	322	561	311	56	115	238	27	246	135	88	613	273
gb|M37699.1|+|585-1752|ARO:3000205|tet(X)	12	433	526	17	29	405	51	166	480	52	47	624	32	403	49	77	1300	596
gb|AF024602.1|+|3155-3992|ARO:3002660|APH(6)-Id	112	782	1844	274	62	394	72	634	619	72	77	223	266	579	229	77	209	803
gb|AF313472.2|+|15593-16397|ARO:3002639|APH(3'')-Ib	132	966	2059	279	89	381	64	599	613	83	69	221	267	555	227	71	237	861
gb|U37105.2|+|2806-3640|ARO:3004692|aadA10	1	133	54	28	38	82	12	25	158	14	10	225	4	36	64	63	128	67
gb|NG_061615.1|+|101-901|ARO:3005937|OXA-732	0	11	13	4	0	23	5	0	17	17	3	85	5	15	10	63	14	8
gb|V00622.1|+|243-903|ARO:3002683|catI	55	52	52	79	99	43	55	98	56	72	64	58	66	64	44	62	53	60
gb|EU675686.2|+|3196-4042|ARO:3002616|aadA16	3	120	48	57	37	113	92	82	548	14	5	62	8	49	94	61	755	83
gb|KR091911.1|-|74564-75350|ARO:3002578|AAC(6')-Ib7	72	648	877	62	94	182	47	285	471	156	138	82	78	399	132	61	98	446
gb|NC_020125.1|-|1861440-1862223|ARO:3004600|LnuH	6	121	139	202	31	225	22	94	168	33	30	245	30	251	25	58	696	124
gb|AM087411.1|+|1611-2457|ARO:3002606|aadA6	17	232	298	206	152	145	45	89	213	37	161	140	51	214	141	56	1759	132
gb|AF231986.2|+|3307-4522|ARO:3002705|floR	34	732	2554	61	21	276	34	258	788	33	30	134	68	945	131	50	116	659
gb|FR734406.1|+|0-906|ARO:3003106|Erm(42)	54	277	397	3	23	56	33	140	220	3	13	140	15	21	34	48	65	24
gb|AB571865.1|-|144312-145536|ARO:3003745|mefC	2	488	725	65	64	778	19	116	322	21	22	389	74	857	40	48	455	202
gb|AL123456.3|-|3153038-3154631|ARO:3003955|efpA	4	20	2	8	23	7	30	50	7	2	13	5	16	23	9	45	3	3
gb|L20800.1|+|2308-4267|ARO:3000195|tetB(P)	35	32	58	30	25	17	32	84	31	11	13	15	12	70	15	44	17	47
gb|L20800.1|+|1062-2325|ARO:3000180|tetA(P)	19	24	39	11	11	15	24	47	22	3	6	4	8	42	7	39	4	32
gb|AY743590.1|+|0-1188|ARO:3000566|tet(39)	0	389	614	82	150	13	9	39	35	3	80	25	161	20	49	38	238	523
gb|U00096.1|+|2484373-2487967|ARO:3000833|evgS	17	27	25	21	45	13	23	38	14	20	15	13	32	18	32	34	11	44
gb|AB571865.1|-|143423-144308|ARO:3003742|mphG	0	293	436	57	46	457	18	88	208	18	8	213	64	523	31	28	313	102
gb|AF453998.2|+|3554-4946|ARO:3002598|ANT3II_ANT6II	11	175	179	25	9	101	17	69	154	37	27	64	10	106	35	28	185	127
gb|AY758206.1|+|2743-3589|ARO:3002611|aadA11	9	150	93	40	21	192	26	53	208	52	27	109	15	110	66	27	336	110
gb|CP000312.1|-|1756064-1757774|ARO:3003773|Cper_mprF	7	14	8	0	15	1	2	11	8	0	3	3	0	18	1	27	3	9
gb|NG_056174.1|+|100-964|ARO:3004361|sul4	0	27	4	2	5	48	172	228	5	4	3	18	2	8	25	26	17	10
gb|U00096.1|+|3660413-3663527|ARO:3000796|mdtF	20	19	16	29	32	25	30	36	13	13	23	10	43	23	31	25	19	56
gb|AM998375.1|+|1172-2084|ARO:3000853|AIM-1	0	212	15	9	9	172	0	32	144	365	25	63	14	8	185	25	22	23
gb|U00096.3|-|481253-484403|ARO:3000216|acrB	12	34	14	38	48	20	19	27	17	11	28	13	36	19	28	25	24	30
gb|KP265721.1|+|331-1558|ARO:3004608|EreD	2	241	378	57	19	467	31	87	243	27	10	309	70	240	23	25	332	203
gb|AY963803.6|+|24823-26038|ARO:3005043|cmlA9	17	331	804	46	19	209	17	107	183	45	20	84	37	207	45	25	42	227
gb|U00096.1|+|3415032-3418137|ARO:3000502|AcrF	15	25	21	24	42	21	30	34	9	24	18	10	40	16	22	24	18	26
gb|JX101693.1|+|58200-58833|ARO:3002676|catB3	1	488	513	23	6	102	12	141	667	12	117	62	20	237	42	23	93	281
gb|AM743197.2|-|2076-2937|ARO:3001044|TEM-181	14	17	17	10	23	21	12	20	19	18	28	8	22	20	20	23	17	19
gb|M55547.1|+|0-825|ARO:3001404|OXA-9	0	1	0	5	2	14	16	4	18	10	1	11	2	7	18	20	26	3
gb|D16171.1|+|382-1042|ARO:3002689|pp_cat	20	9	11	9	17	16	5	18	9	13	16	14	10	10	10	20	7	5
gb|KM679362.1|+|0-813|ARO:3004596|erm(46)	146	1868	52	20	7	12	12	680	282	10	2	6	12	3	12	20	0	477
gb|NG_067158.1|+|1-825|ARO:3006087|OXA-896	0	1	1	5	3	14	19	3	10	10	0	4	2	8	20	20	22	5
gb|JN086160.1|-|1582-2407|ARO:3001777|OXA-347	2	182	292	26	5	151	12	94	199	9	20	166	73	405	16	19	64	254
gb|AJ252200.1|+|1278-4401|ARO:3003056|smeE	3829	196	165	31	142	218	13	127	953	828	31	117	21	53	207	19	73	1216
gb|AM087405.1|+|1748-2582|ARO:3002622|aadA6/aadA10	5	105	112	69	51	65	22	40	98	27	58	69	28	91	50	19	642	64
gb|U00096.1|+|3413863-3415021|ARO:3000499|AcrE	8	10	3	9	22	4	7	15	5	3	6	7	11	4	13	18	11	9
gb|U00096.3|+|966620-968369|ARO:3003950|msbA	7	10	8	9	17	8	11	18	16	15	13	10	13	3	13	18	12	25
gb|U00096.1|+|2155262-2158385|ARO:3000793|mdtB	21	30	24	26	50	23	23	33	19	19	16	22	39	14	42	17	16	46
gb|AP009048.1|-|4304505-4306557|ARO:3003549|mdtO	16	12	16	13	31	10	9	14	10	23	14	15	22	13	27	17	13	28
gb|AE004091.2|-|4116187-4119265|ARO:3003693|MexK	13	164	74	72	51	155	15	30	303	253	97	45	161	102	347	17	393	166
gb|AF024666.2|+|35934-37110|ARO:3002703|cmx	12	256	384	1	0	5	3	137	201	7	5	5	0	208	9	16	32	331
gb|U36911.1|+|1429-2290|ARO:3000979|TEM-116	11	10	7	9	9	16	4	14	7	1	10	8	9	5	2	15	13	2
gb|AF156486.1|+|5012-5792|ARO:3002602|aadA2	35	136	255	4	7	26	13	70	150	7	8	30	13	45	39	15	38	72
gb|U00096.1|+|2158385-2161463|ARO:3000794|mdtC	5	25	18	20	40	9	12	21	5	9	17	14	22	13	23	15	7	27
gb|AP009048.1|+|2586250-2589364|ARO:3000491|acrD	8	33	18	14	35	12	9	32	16	12	32	15	31	15	30	15	13	32
gb|HQ877606.1|+|0-861|ARO:3001056|TEM-197	8	7	5	12	9	9	8	9	3	6	4	5	6	10	5	15	8	7
gb|CP015085.1|-|2551711-2552440|ARO:3003838|gadW	6	9	4	7	6	5	5	4	4	6	5	5	4	3	6	15	4	7
gb|U00096.3|-|4567286-4568519|ARO:3001214|mdtM	12	11	5	5	10	6	8	8	9	6	12	13	13	7	12	14	7	7
gb|AF099140.1|+|136-1363|ARO:3002826|EreA2	86	174	477	26	1	194	24	79	363	11	16	184	7	148	18	13	47	215
gb|MK134376.1|-|324-1482|ARO:3004720|tet(X4)	4	60	97	5	1	70	4	22	57	8	3	79	6	55	6	13	146	92
gb|AY027589.1|+|45-828|ARO:3004239|NPS-1	0	15	25	2	2	2	9	45	23	2	0	0	4	24	7	13	21	31
gb|EF468463.1|+|66-927|ARO:3001028|TEM-162	6	11	7	10	16	8	8	8	6	11	7	5	4	6	5	12	11	2
gb|AY183453.1|+|2729-3950|ARO:3000361|EreA	25	56	44	10	0	58	10	14	65	3	4	33	4	75	14	12	24	11
gb|M64556.1|+|600-1860|ARO:3002693|cmlA1	26	102	47	12	6	14	6	67	139	12	19	22	4	68	41	12	15	74
gb|JF268688.1|-|5407-6232|ARO:3001809|OXA-209	1	126	113	52	13	76	1	50	83	6	8	80	38	210	14	12	77	105
gb|X02340.1|+|222-1194|ARO:3004089|ANT(3'')-IIa	30	103	111	8	8	68	7	31	182	15	5	27	4	100	73	12	33	88
gb|AP009048.1|-|4303042-4304509|ARO:3003550|mdtP	7	8	13	6	24	5	4	13	10	6	17	7	9	14	15	11	14	12
gb|L07945.1|+|60-888|ARO:3001398|OXA-3	2	47	110	3	3	19	2	19	80	4	31	11	10	45	24	11	18	72
gb|AF137361.1|+|63-852|ARO:3002605|aadA5	6	36	142	3	9	29	7	12	42	5	29	95	12	103	8	11	31	37
gb|U13880.2|+|308-767|ARO:3004635|AAC(6')-Il	0	217	276	1	0	1	9	85	275	3	0	1	0	71	36	11	31	172
gb|AJ487033.2|+|1685-2858|ARO:3002691|Sent_cmlA	10	76	20	10	0	13	1	37	89	4	12	15	6	25	13	11	7	43
gb|Y10693.2|+|0-828|ARO:3001416|OXA-21	1	70	94	1	1	26	6	23	90	4	17	16	10	71	27	10	14	100
gb|AP009048.1|+|2810082-2811255|ARO:3000027|emrA	2	8	3	12	15	13	6	6	1	6	11	12	8	8	11	10	9	14
gb|X15791.1|+|1375-2257|ARO:3003563|RCP-1	0	95	245	17	25	81	12	23	18	21	113	28	14	37	64	9	23	44
gb|AF156486.1|+|3648-4908|ARO:3002694|cmlA4	14	34	21	0	0	8	0	27	11	1	1	17	1	102	9	9	8	12
gb|AP009048.1|+|2165012-2166416|ARO:3000829|baeS	6	12	3	8	5	9	4	13	7	6	9	5	17	4	18	9	2	18
gb|AP009048.1|-|4306556-4307588|ARO:3003548|mdtN	11	6	5	14	14	2	7	10	6	12	5	8	6	3	7	9	3	6
gb|AE004091.2|-|2850882-2854014|ARO:3004074|MuxB	46	4	5	38	20	16	324	28	16	28	29	4	67	13	65	9	16	9
gb|JQ394987.1|+|0-1233|ARO:3001328|Ecol_mdfA	4	12	7	3	10	6	1	13	4	5	5	8	7	4	16	9	4	16
gb|NG_056416.1|+|0-861|ARO:3005260|TEM-229	7	2	9	7	11	11	5	11	5	10	8	9	12	3	8	9	8	8
gb|CP001840.1|-|1610636-1613960|ARO:3003730|Bbif_ileS_MUP	69	30	13	82	42	28	4	31	29	8	40	41	54	4	187	9	18	209
gb|U00096.3|-|2306971-2308615|ARO:3003952|YojI	7	9	1	11	10	5	2	9	6	8	4	8	10	8	15	9	0	12
gb|AP009048.1|+|3974604-3975429|ARO:3000508|gadX	1	5	7	6	9	4	3	12	0	6	4	1	8	6	3	8	2	8
gb|AP009048.1|-|4338624-4340268|ARO:3003576|eptA	10	13	18	12	25	15	10	16	16	4	13	12	16	6	8	8	3	24
gb|CP000864.1|+|13383-14226|ARO:3001611|OXA-58	0	40	39	16	13	0	2	3	6	1	25	5	11	1	3	8	72	73
gb|U97042.1|+|1263-4347|ARO:3003010|ceoB	198	31	38	10	14	61	3	7	17	17	19	47	13	32	20	8	36	32
gb|FJ919776.1|+|208-1069|ARO:3001034|TEM-168	4	0	2	11	3	3	2	2	1	4	4	1	4	4	2	8	5	4
gb|U00096.3|-|3203309-3204131|ARO:3002986|bacA	8	6	5	11	6	9	5	3	6	2	8	6	16	8	8	8	2	11
gb|AM183304.1|+|208-1069|ARO:3001017|TEM-150	3	3	4	3	6	10	9	9	2	3	3	7	4	6	10	8	6	5
gb|Y18050.2|+|4757-5552|ARO:3004675|aphA15	0	4	1	0	0	0	1	3	3	1	0	0	0	2	0	8	0	6
gb|AFRQ01000061.1|-|23986-27124|ARO:3004144|AxyY	2117	117	560	149	61	111	75	94	73	116	44	71	22	154	65	8	148	51
gb|NG_049131.1|+|1-864|ARO:3006157|GES-28	4	27	34	12	1	4	4	13	36	4	3	3	0	18	55	8	6	20
gb|MK134375.1|+|6173-7340|ARO:3004719|tet(X3)	4	57	52	2	0	49	6	16	64	11	3	95	1	71	11	8	139	90
gb|MN507533.1|+|36121-37258|ARO:3005056|tet(X6)	0	25	70	5	0	12	4	12	12	2	12	14	3	22	6	8	31	8
gb|DQ390458.1|-|3095-3995|ARO:3002609|aadA9	0	3	14	2	5	0	2	7	7	3	4	2	4	1	74	7	3	11
gb|X58272.1|+|79-883|ARO:3001400|OXA-5	20	15	167	55	12	21	8	12	21	12	22	11	22	13	11	7	11	16
gb|U00096.1|-|2098446-2099613|ARO:3003577|ugd	5	0	2	13	3	3	4	2	3	6	5	5	12	5	12	7	5	6
gb|AY139598.1|+|1486-2287|ARO:3001775|OXA-119	0	0	0	0	1	3	1	0	0	0	0	4	0	0	0	7	0	0
gb|AB901141.1|+|0-864|ARO:3002353|GES-24	0	34	31	5	3	5	3	9	44	3	4	5	4	18	58	7	4	19
gb|AJ514254.1|+|0-1923|ARO:3000197|tet(36)	5	55	368	5	1	344	13	50	114	4	2	246	4	259	9	7	102	265
gb|AF121000.1|-|11879-13034|ARO:3000183|tet(Z)	0	84	23	6	10	6	0	18	42	17	9	10	13	3	184	7	5	26
gb|D37826.1|+|1070-2195|ARO:3002812|pp-flo	18	205	988	11	6	84	6	89	274	6	15	39	17	336	44	7	36	224
