Taxa	CGH1	CGH2	CGH3	CGH4	CGH5	CGH6	SLMC1	SLMC2	SLMC3	SLMC4	SLMC5	SLMC6	UST1	UST2	UST3	UST4	UST5	UST6
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Acidicapsa	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Acidobacterium	0	4	0	1	0	0	5	0	0	0	0	32	0	1	0	0	0	2
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Bryocella	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Granulicella	0	0	0	0	0	0	0	0	0	0	0	5	1	0	1	0	0	0
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Terriglobus	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	1
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Unclassified Acidobacteriaceae	0	10	6	1	1	5	51	0	3	1	2	126	21	1	5	0	9	13
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Unclassified Acidobacteriales;	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Acidobacteria;Candidatus Solibacter;Unclassified Candidatus Solibacter;	0	18	2	1	4	1	1	0	1	0	1	3	0	1	0	0	1	1
Bacteria;Acidobacteria;Acidobacteria;Candidatus Solibacter;bacterium Ellin6505;Unclassified bacterium Ellin6505	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Acidobacteria;DA023;Acidobacteria bacterium IGE-011;Unclassified Acidobacteria bacterium IGE-011	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria;Acidobacteria;Acidobacteria;DA023;Unclassified DA023;	0	0	0	0	1	0	0	0	0	0	1	0	0	27	5	2	6	22
Bacteria;Acidobacteria;Acidobacteria;Order Incertae Sedis;Family Incertae Sedis;Bryobacter	1	25	5	2	11	0	0	0	6	4	6	0	0	4	2	0	2	2
Bacteria;Acidobacteria;Acidobacteria;Order Incertae Sedis;Family Incertae Sedis;Unclassified Family Incertae Sedis	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Acidobacteria;Acidobacteria;Unclassified Acidobacteria;;	6	139	47	16	15	3	9	0	28	28	17	2	0	19	9	3	25	43
Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae;Geothrix	1	4	0	0	2	0	0	0	0	0	0	0	8	31	3	0	0	50
Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae;Holophaga	0	0	0	0	1	0	0	0	0	1	0	0	119	6	0	0	0	328
Bacteria;Acidobacteria;Holophagae;Holophagales;Holophagaceae;Unclassified Holophagaceae	0	0	0	0	0	0	0	0	0	0	0	0	7	18	0	0	0	17
Bacteria;Acidobacteria;Holophagae;Unclassified Holophagae;;	0	0	0	0	0	0	0	0	1	0	0	0	1	6	0	0	0	5
Bacteria;Acidobacteria;Unclassified Acidobacteria;;;	2	0	0	0	0	0	0	0	0	0	0	0	75	65	4	0	1	151
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidimicrobium	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;CL500-29 marine group	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Ferrimicrobium	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Ilumatobacter	1	1	0	2	0	2	2	0	1	1	1	1	0	0	0	1	6	0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Unclassified Acidimicrobiaceae	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Candidatus Microthrix;Candidatus	1	0	0	0	0	0	2	0	0	0	0	0	1	2	1	1	0	1
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Candidatus Microthrix;Unclassified Candidatus Microthrix	3	151	28	0	7	9	10	0	3	4	6	3	0	4	15	15	9	4
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Candidatus Microthrix;actinobacterium CH9	0	90	13	0	1	2	14	0	3	1	5	2	0	3	6	12	6	3
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Iamia	2	22	169	0	17	6	44	0	15	10	18	13	3	12	36	10	31	35
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Unclassified Iamiaceae	2	4	5	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Sva0996 marine group;actinobacterium MSI70	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;TM214;Aciditerrimonas	1	1	0	0	0	1	5	0	0	0	1	0	1	5	5	1	3	3
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;TM214;Unclassified TM214	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;TM214;actinobacterium	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;TM214;actinobacterium YJF2-33	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Unclassified Acidimicrobiales;	18	261	200	7	42	62	148	31	33	53	65	94	5	28	66	55	40	60
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinobaculum	3	10	1	5	2	9	2	0	3	1	2	0	7	66	32	76	1	17
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces	23	44	1	28	25	9	1	20	3	5	1	4	20	26	33	17	10	325
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Arcanobacterium	5	1	0	18	5	2	3	0	0	3	0	0	5	18	15	31	2	24
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Mobiluncus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	36
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Trueperella	1	0	1	0	0	1	0	0	0	0	0	0	2	7	8	5	0	5
