GENE	Class
gb|AP006618.1|+|4835199-4838688|ARO:3000501|rpoB2	rifamycin
gb|AB211124.1|+|0-525|ARO:3002895|SAT-2	nucleoside
gb|NC_008618.1|-|1667063-1670624|ARO:3004480|Bado_rpoB_RIF	rifamycin
gb|AY055428.1|-|20268-21084|ARO:3000412|sul2	sulfonamide
gb|AE004091.2|+|2810008-2813197|ARO:3000804|MexF	multidrug
gb|EU294228.1|+|21241-22717|ARO:3003109|msrE	multidrug
gb|JF969163.1|+|1053-1893|ARO:3000410|sul1	sulfonamide
gb|DQ149925.1|+|188-521|ARO:3005098|qacL	disinfecting agents and antiseptics
gb|DQ839391.1|-|12872-13757|ARO:3003741|mphE	macrolide
gb|M72415.1|+|1120-1984|ARO:3004683|aadS	aminoglycoside
gb|AY043299.1|-|3984-5175|ARO:3000167|tet(C)	tetracycline
gb|M17124.1|+|1181-1982|ARO:3000498|ErmF	multidrug
gb|HQ203032.1|+|0-345|ARO:3000245|RbpA	rifamycin
gb|AF133139.1|+|0-1176|ARO:3000174|tet(G)	tetracycline
gb|U49101.1|+|1490-1838|ARO:3005010|qacEdelta1	disinfecting agents and antiseptics
gb|M37699.1|+|585-1752|ARO:3000205|tet(X)	tetracycline
gb|AF024602.1|+|3155-3992|ARO:3002660|APH(6)-Id	aminoglycoside
gb|AF313472.2|+|15593-16397|ARO:3002639|APH(3'')-Ib	aminoglycoside
gb|U37105.2|+|2806-3640|ARO:3004692|aadA10	aminoglycoside
gb|NG_061615.1|+|101-901|ARO:3005937|OXA-732	penam
gb|V00622.1|+|243-903|ARO:3002683|catI	phenicol
gb|EU675686.2|+|3196-4042|ARO:3002616|aadA16	aminoglycoside
gb|KR091911.1|-|74564-75350|ARO:3002578|AAC(6')-Ib7	aminoglycoside
gb|NC_020125.1|-|1861440-1862223|ARO:3004600|LnuH	lincosamide
gb|AM087411.1|+|1611-2457|ARO:3002606|aadA6	aminoglycoside
gb|AF231986.2|+|3307-4522|ARO:3002705|floR	phenicol
gb|FR734406.1|+|0-906|ARO:3003106|Erm(42)	multidrug
gb|AB571865.1|-|144312-145536|ARO:3003745|mefC	multidrug
gb|AL123456.3|-|3153038-3154631|ARO:3003955|efpA	rifamycin, isoniazid-like 
gb|L20800.1|+|2308-4267|ARO:3000195|tetB(P)	tetracycline
gb|L20800.1|+|1062-2325|ARO:3000180|tetA(P)	tetracycline
gb|AY743590.1|+|0-1188|ARO:3000566|tet(39)	tetracycline
gb|U00096.1|+|2484373-2487967|ARO:3000833|evgS	multidrug
gb|AB571865.1|-|143423-144308|ARO:3003742|mphG	macrolide
gb|AF453998.2|+|3554-4946|ARO:3002598|ANT3II_ANT6II	aminoglycoside
gb|AY758206.1|+|2743-3589|ARO:3002611|aadA11	aminoglycoside
gb|CP000312.1|-|1756064-1757774|ARO:3003773|Cper_mprF	peptide
gb|NG_056174.1|+|100-964|ARO:3004361|sul4	sulfonamide
gb|U00096.1|+|3660413-3663527|ARO:3000796|mdtF	multidrug
gb|AM998375.1|+|1172-2084|ARO:3000853|AIM-1	multidrug
gb|U00096.3|-|481253-484403|ARO:3000216|acrB	multidrug
gb|KP265721.1|+|331-1558|ARO:3004608|EreD	macrolide
gb|AY963803.6|+|24823-26038|ARO:3005043|cmlA9	phenicol
gb|U00096.1|+|3415032-3418137|ARO:3000502|AcrF	multidrug
gb|JX101693.1|+|58200-58833|ARO:3002676|catB3	phenicol
gb|AM743197.2|-|2076-2937|ARO:3001044|TEM-181	multidrug
gb|M55547.1|+|0-825|ARO:3001404|OXA-9	penam
gb|D16171.1|+|382-1042|ARO:3002689|pp_cat	phenicol
gb|KM679362.1|+|0-813|ARO:3004596|erm(46)	multidrug
gb|NG_067158.1|+|1-825|ARO:3006087|OXA-896	penam
gb|JN086160.1|-|1582-2407|ARO:3001777|OXA-347	penam
gb|AJ252200.1|+|1278-4401|ARO:3003056|smeE	multidrug
gb|AM087405.1|+|1748-2582|ARO:3002622|aadA6/aadA10	aminoglycoside
gb|U00096.1|+|3413863-3415021|ARO:3000499|AcrE	multidrug
